date,yield_3m,yield_6m,yield_1y,yield_3y,yield_5y,yield_7y,yield_10y,shibor_on,shibor_1w,shibor_1m,shibor_3m,cpi_yoy,ppi_yoy,pmi_manufacturing,m2_yoy
2011-01-04,2.9634,3.0288,3.2281,3.3801,3.5,3.6783,3.8606,2.9308,4.3108,4.4711,4.5583,5.1192,6.06,55.2,19.5
2011-01-05,2.8693,2.925,3.0283,3.347,3.4304,3.6151,3.8132,2.68,3.2192,4.1676,4.522,5.1192,6.06,55.2,19.5
2011-01-06,2.8426,2.8998,2.994,3.3275,3.4402,3.639,3.8339,2.1804,3.1567,4.1188,4.4648,5.1192,6.06,55.2,19.5
2011-01-07,2.8012,2.8402,2.9524,3.2975,3.4105,3.6247,3.8237,2.12,2.7996,3.9565,4.4184,5.1192,6.06,55.2,19.5
2011-01-10,2.81,2.8655,2.9294,3.2899,3.4072,3.6385,3.8449,2.01,2.3725,3.9007,4.3408,5.1192,6.06,55.2,19.5
2011-01-11,2.8061,2.8522,2.9201,3.276,3.4269,3.66,3.8703,1.98,2.4375,3.8782,4.2643,5.1192,6.06,55.2,19.5
2011-01-12,2.7735,2.7818,2.8527,3.2791,3.4083,3.6532,3.855,1.9625,2.4853,3.8569,4.1951,5.1192,6.06,55.2,19.5
2011-01-13,2.7251,2.7797,2.8506,3.2731,3.4419,3.6788,3.8831,1.9157,2.3075,3.8299,4.172,5.1192,6.06,55.2,19.5
2011-01-14,2.699,2.7893,2.85,3.288,3.4714,3.7119,3.9156,1.9217,2.5458,3.8204,4.1398,5.1192,6.06,55.2,19.5
2011-01-17,2.753,2.8207,2.8857,3.3237,3.5334,3.7655,3.9651,1.9258,2.5713,4.1505,4.1383,5.1192,6.06,55.2,19.5
2011-01-18,2.803,2.8544,2.9357,3.3559,3.5998,3.8177,3.9954,1.9971,2.7675,4.4708,4.1671,5.1192,6.06,55.2,19.5
2011-01-19,2.9906,2.9125,3.0017,3.3599,3.623,3.8222,3.9752,2.6275,4.0588,5.2633,4.3572,5.1192,6.06,55.2,19.5
2011-01-20,3.1306,3.0321,3.0457,3.3678,3.6283,3.8298,3.9749,5.7083,6.0767,6.735,4.6839,5.1192,6.06,55.2,19.5
2011-01-21,3.2926,3.0749,3.0866,3.384,3.6297,3.8198,3.9837,5.7242,7.3208,7.4775,4.9322,5.1192,6.06,55.2,19.5
2011-01-24,3.21,3.1076,3.1336,3.3624,3.6216,3.8202,3.9918,5.0408,5.4242,7.9417,5.0497,5.1192,6.06,55.2,19.5
2011-01-25,3.3369,3.1988,3.2104,3.3632,3.6133,3.8242,4.0152,7.2042,7.7033,8.13,5.2502,5.1192,6.06,55.2,19.5
2011-01-26,3.3465,3.2018,3.2154,3.367,3.6164,3.828,3.9991,7.7608,7.8725,8.1258,5.4415,5.1192,6.06,55.2,19.5
2011-01-27,3.3169,3.2118,3.1854,3.38,3.6179,3.8269,4.0058,7.9997,8.4058,8.1392,5.5597,5.1192,6.06,55.2,19.5
2011-01-28,3.2857,3.1854,3.1657,3.3731,3.6185,3.8271,4.0096,7.6992,8.1883,8.13,5.6207,5.1192,6.06,55.2,19.5
2011-01-30,3.2937,3.1899,3.1727,3.3646,3.6135,3.8189,4.01,7.9833,8.5117,8.1118,5.7059,5.1192,6.06,55.2,19.5
2011-01-31,3.297,3.15,3.1527,3.3612,3.6087,3.831,4.0187,5.0142,8.2192,8.1318,5.7464,4.5859,5.93,53.9,19.7
2011-02-01,3.2255,3.1293,3.1427,3.3571,3.616,3.8233,4.0186,3.3458,3.3692,6.625,5.6437,4.5859,5.93,53.9,19.7
2011-02-09,3.1715,3.1763,3.1996,3.43,3.7123,3.9023,4.1006,3.8475,4.0903,5.5818,5.7299,4.5859,5.93,53.9,19.7
2011-02-10,3.0915,3.1676,3.2,3.4208,3.7173,3.8949,4.1158,2.8758,3.9717,5.3151,5.6362,4.5859,5.93,53.9,19.7
2011-02-11,2.9915,3.0676,3.2,3.4235,3.7127,3.8834,4.1062,2.885,3.971,5.1129,5.4415,4.5859,5.93,53.9,19.7
2011-02-12,2.9605,3.0476,3.2,3.4206,3.7195,3.884,4.1087,2.595,2.6412,4.7917,5.1854,4.5859,5.93,53.9,19.7
2011-02-14,2.8105,2.966,3.1664,3.3807,3.6771,3.8504,4.0552,2.31,2.7067,4.4325,5.0048,4.5859,5.93,53.9,19.7
2011-02-15,2.7477,2.9071,3.0664,3.3747,3.6639,3.855,4.0454,2.31,2.6245,4.4292,4.825,4.5859,5.93,53.9,19.7
2011-02-16,2.7717,2.9159,3.065,3.3943,3.6329,3.8786,4.045,2.3008,2.5882,4.4817,4.765,4.5859,5.93,53.9,19.7
