date,yield_3m,yield_6m,yield_1y,yield_3y,yield_5y,yield_7y,yield_10y
2011-01-04,2.9634,3.0288,3.2281,3.3801,3.5,3.6783,3.8606
2011-01-05,2.8693,2.925,3.0283,3.347,3.4304,3.6151,3.8132
2011-01-06,2.8426,2.8998,2.994,3.3275,3.4402,3.639,3.8339
2011-01-07,2.8012,2.8402,2.9524,3.2975,3.4105,3.6247,3.8237
2011-01-10,2.81,2.8655,2.9294,3.2899,3.4072,3.6385,3.8449
2011-01-11,2.8061,2.8522,2.9201,3.276,3.4269,3.66,3.8703
2011-01-12,2.7735,2.7818,2.8527,3.2791,3.4083,3.6532,3.855
2011-01-13,2.7251,2.7797,2.8506,3.2731,3.4419,3.6788,3.8831
2011-01-14,2.699,2.7893,2.85,3.288,3.4714,3.7119,3.9156
2011-01-17,2.753,2.8207,2.8857,3.3237,3.5334,3.7655,3.9651
2011-01-18,2.803,2.8544,2.9357,3.3559,3.5998,3.8177,3.9954
2011-01-19,2.9906,2.9125,3.0017,3.3599,3.623,3.8222,3.9752
2011-01-20,3.1306,3.0321,3.0457,3.3678,3.6283,3.8298,3.9749
2011-01-21,3.2926,3.0749,3.0866,3.384,3.6297,3.8198,3.9837
2011-01-24,3.21,3.1076,3.1336,3.3624,3.6216,3.8202,3.9918
2011-01-25,3.3369,3.1988,3.2104,3.3632,3.6133,3.8242,4.0152
2011-01-26,3.3465,3.2018,3.2154,3.367,3.6164,3.828,3.9991
2011-01-27,3.3169,3.2118,3.1854,3.38,3.6179,3.8269,4.0058
2011-01-28,3.2857,3.1854,3.1657,3.3731,3.6185,3.8271,4.0096
2011-01-30,3.2937,3.1899,3.1727,3.3646,3.6135,3.8189,4.01
2011-01-31,3.297,3.15,3.1527,3.3612,3.6087,3.831,4.0187
2011-02-01,3.2255,3.1293,3.1427,3.3571,3.616,3.8233,4.0186
2011-02-09,3.1715,3.1763,3.1996,3.43,3.7123,3.9023,4.1006
2011-02-10,3.0915,3.1676,3.2,3.4208,3.7173,3.8949,4.1158
2011-02-11,2.9915,3.0676,3.2,3.4235,3.7127,3.8834,4.1062
2011-02-12,2.9605,3.0476,3.2,3.4206,3.7195,3.884,4.1087
2011-02-14,2.8105,2.966,3.1664,3.3807,3.6771,3.8504,4.0552
2011-02-15,2.7477,2.9071,3.0664,3.3747,3.6639,3.855,4.0454
2011-02-16,2.7717,2.9159,3.065,3.3943,3.6329,3.8786,4.045
2011-02-17,2.8017,2.8966,3.065,3.3894,3.6252,3.867,4.0449
2011-02-18,2.7675,2.8841,3.0587,3.3905,3.6339,3.8698,4.045
2011-02-21,2.9239,2.9731,3.1532,3.4372,3.6955,3.9052,4.0702
2011-02-22,2.9244,2.9762,3.12,3.4372,3.6753,3.8702,4.04
2011-02-23,2.7444,2.9477,3.1007,3.4325,3.6381,3.8299,3.9946
2011-02-24,2.6753,2.8477,3.0177,3.3726,3.6081,3.7865,3.9132
2011-02-25,2.6268,2.8321,3.0257,3.3526,3.6336,3.8313,3.9566
2011-02-28,2.6208,2.7864,3.0,3.3574,3.5849,3.8212,3.9314
2011-03-01,2.5369,2.7568,2.9727,3.35,3.5795,3.8026,3.9259
2011-03-02,2.484,2.6918,2.9697,3.3678,3.5647,3.771,3.9233
2011-03-03,2.4596,2.6161,2.9496,3.3315,3.5599,3.7873,3.9279
2011-03-04,2.4785,2.5988,2.9508,3.3386,3.5806,3.7982,3.9388
2011-03-07,2.3985,2.6,2.9352,3.3311,3.5813,3.7946,3.9351
2011-03-08,2.4028,2.5903,2.9394,3.33,3.5325,3.7531,3.9078
2011-03-09,2.3706,2.568,2.8898,3.26,3.5087,3.7391,3.8879
2011-03-10,2.3706,2.6162,2.9105,3.26,3.5465,3.757,3.9321
2011-03-11,2.4704,2.666,2.8904,3.2599,3.5414,3.7692,3.9328
2011-03-14,2.47,2.6787,2.8977,3.2771,3.5525,3.7468,3.9074
2011-03-15,2.4741,2.6616,2.9007,3.2633,3.5083,3.7022,3.8659
2011-03-16,2.493,2.696,2.8986,3.2511,3.5063,3.693,3.86
2011-03-17,2.4799,2.6928,2.89,3.2321,3.4932,3.6748,3.8326
2011-03-18,2.5,2.7015,2.8965,3.2365,3.4942,3.6789,3.8489
2011-03-21,2.5712,2.7219,2.9365,3.2476,3.5222,3.7006,3.8774
2011-03-22,2.5758,2.7209,2.915,3.2532,3.5262,3.7165,3.8987
2011-03-23,2.6076,2.6897,2.85,3.2373,3.528,3.7088,3.9037
2011-03-24,2.61,2.6731,2.8519,3.2321,3.5035,3.7083,3.8762
2011-03-25,2.6019,2.6741,2.851,3.2223,3.4953,3.7107,3.8714
2011-03-28,2.6262,2.6919,2.88,3.2323,3.4958,3.7111,3.8807
2011-03-29,2.5939,2.6975,2.8883,3.2326,3.4969,3.7344,3.9044
2011-03-30,2.5883,2.7039,2.8733,3.2292,3.5157,3.7368,3.9069
2011-03-31,2.6179,2.7008,2.8734,3.2328,3.5074,3.7443,3.912
2011-04-01,2.6197,2.6967,2.8259,3.2328,3.5071,3.7395,3.9126
2011-04-02,2.6012,2.6939,2.8346,3.2357,3.5096,3.7337,3.9078
2011-04-06,2.6342,2.7161,2.859,3.2412,3.5316,3.737,3.9203
2011-04-07,2.6588,2.7517,2.8709,3.2469,3.5297,3.7316,3.9167
2011-04-08,2.615,2.7217,2.8589,3.2434,3.5315,3.7244,3.9081
2011-04-11,2.6085,2.7273,2.8625,3.2444,3.51,3.7128,3.8928
2011-04-12,2.6044,2.7272,2.8482,3.2365,3.4632,3.6653,3.87
2011-04-13,2.5758,2.7,2.8144,3.2049,3.432,3.6675,3.8703
2011-04-14,2.5419,2.6857,2.8105,3.1946,3.4321,3.6629,3.8707
2011-04-15,2.5539,2.7014,2.8133,3.1994,3.4326,3.6632,3.8709
2011-04-18,2.5487,2.707,2.8297,3.2137,3.462,3.6881,3.896
2011-04-19,2.5559,2.6775,2.8186,3.2086,3.4622,3.6833,3.8911
2011-04-20,2.5868,2.6856,2.8211,3.2037,3.4574,3.6834,3.8913
