year,quarter,publish_date,title,url,is_main_site,text,text_length,txt_path
2011,1,2011-03-28,中国人民银行 货币政策 委员会 召开 2011 年 第一季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541028790/index.html,1,"中国人民银行货币政策委员会 2011 年第一季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国货币信贷形势正向宏观调控的方向发展，但经济金融面临的环境依然复杂，世界经济继续缓慢复苏，但复苏的基础仍不够牢固，我国经济继续保持平稳较快发展，但发展中的问题依然突出。

会议强调，要密切关注国际国内经济金融最新动向及其影响，强调稳定价格总水平的宏观调控任务，认真贯彻实施稳健货币政策，提高货币政策的针对性、灵活性和有效性。要综合运用多种货币政策工具，逐步健全宏观审慎政策框架，有效管理流动性，保持合理的社会融资规模和货币总量。要着力优化信贷结构，引导商业银行加大对重点领域和薄弱环节的信贷支持，严格控制对“两高”行业和产能过剩行业贷款。要发挥直接融资的作用，更好地满足多样化投融资需求。进一步完善人民币汇率形成机制，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员李勇、胡晓炼、杜金富、马建堂、易纲、刘明康、尚福林、吴定富、姜建清、周其仁、夏斌、李稻葵出席会议，尤权、朱之鑫因公务请假。中国人民银行济南分行、广州分行和重庆营业管理部负责同志列席会议。（完）",527,data/monetary_policy_meetings/raw_txt/2011_Q1_中国人民银行 货币政策 委员会 召开 2011 年 第一季度 例会.txt
2011,2,2011-07-04,中国人民银行 货币政策 委员会 召开 2011 年 第二季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541152610/index.html,1,"中国人民银行货币政策委员会2011年第二季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行正向宏观调控预定的方向发展，但经济金融发展面临的形势依然复杂，世界经济继续缓慢复苏，但面临的风险因素仍然较多；我国经济继续平稳较快发展，但通胀压力仍然处在高位。

会议强调，要密切关注国际国内经济金融最新动向及其影响，贯彻实施稳健货币政策，注意把握政策的稳定性、针对性和灵活性，把握好政策节奏和力度。要综合运用多种货币政策工具，健全宏观审慎政策框架，有效管理流动性，保持合理的社会融资规模和货币总量。要着力优化信贷结构，引导商业银行加大对重点领域和薄弱环节的信贷支持，特别是对“三农”、中小企业的信贷支持。要继续发挥直接融资的作用，更好地满足多样化投融资需求。进一步完善人民币汇率形成机制，保持人民币汇率在合理均衡水平的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员李勇、胡晓炼、易纲、杜金富、刘明康、尚福林、吴定富、姜建清、周其仁、夏斌、李稻葵出席会议，尤权、朱之鑫、马建堂因公务请假。中国人民银行济南分行负责同志列席了会议。（完）",505,data/monetary_policy_meetings/raw_txt/2011_Q2_中国人民银行 货币政策 委员会 召开 2011 年 第二季度 例会.txt
2011,3,2011-09-30,中国人民银行 货币政策 委员会 召开 2011 年 第三季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542517333/index.html,1,"日前，中国人民银行货币政策委员会2011年第三季度例会在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行正向宏观调控的预期方向发展，但经济金融发展面临的形势依然复杂，世界经济继续缓慢复苏，但面临的风险因素仍然较多；我国经济继续平稳较快发展，通胀压力有所缓解但仍处在高位。

会议强调，要密切关注国际国内经济金融最新动向及其影响，继续实施好稳健的货币政策，把稳定物价总水平作为宏观调控的首要任务，增强调控的针对性、有效性和前瞻性，注意把握好政策的节奏和力度。要综合运用多种货币政策工具，健全宏观审慎政策框架，有效管理流动性，保持合理的社会融资规模和货币总量。要着力优化信贷结构，推动产业结构进一步调整，引导金融机构提高金融服务水平，加大对结构调整的信贷支持。要继续发挥直接融资的作用，更好地满足多样化投融资需求。进一步完善人民币汇率形成机制，保持人民币汇率在合理均衡水平的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员尤权、李勇、易纲、杜金富、刘明康、尚福林、吴定富、姜建清、周其仁、夏斌、李稻葵出席了会议，朱之鑫、胡晓炼、马建堂因公务请假。中国人民银行济南分行、广州分行和重庆营业管理部负责同志列席了会议。(完)",543,data/monetary_policy_meetings/raw_txt/2011_Q3_中国人民银行 货币政策 委员会 召开 2011 年 第三季度 例会.txt
2011,4,2011-12-31,中国人民银行 货币政策 委员会 召开 2011 年 第四季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541236423/index.html,1,"中国人民银行货币政策委员会2011年第四季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行继续朝着宏观调控预期方向发展，经济增长和物价总体趋稳,国际收支趋向平衡；受欧债危机等影响，世界经济增长乏力，不稳定性不确定性上升，宏观经济面临的国内外形势较为复杂。

会议强调，要密切关注国际国内经济金融最新动向及其影响，继续实施稳健的货币政策，保持政策的连续性和稳定性，进一步增强政策的针对性、灵活性和前瞻性，把握好调控的力度、节奏和重点，根据形势变化适时适度进行预调微调，处理好保持经济平稳较快发展、调整经济结构和管理通胀预期之间的关系，加强系统性风险防范。综合运用多种货币政策工具，继续发挥宏观审慎政策措施的逆周期调节功能，保持合理的货币信贷总量和社会融资总规模。按照有扶有控的原则，着力引导和促进信贷结构优化，加大对社会经济重点领域和薄弱环节的支持力度，引导金融机构提高金融服务水平，更好地支持实体经济发展。要继续发挥直接融资的作用，更好地满足多样化投融资需求，推动金融市场规范发展。稳步推进利率市场化改革，进一步完善人民币汇率形成机制，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员李勇、胡晓炼、易纲、杜金富、马建堂、尚福林、郭树清、项俊波、姜建清、周其仁、夏斌、李稻葵出席了会议，尤权、朱之鑫因公务请假。中国人民银行济南分行、广州分行和重庆营业管理部负责同志列席了会议。（完）",648,data/monetary_policy_meetings/raw_txt/2011_Q4_中国人民银行 货币政策 委员会 召开 2011 年 第四季度 例会.txt
2012,1,2012-03-31,中国人民银行 货币政策 委员会 召开 2012 年 第一季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541323972/index.html,1,"中国人民银行货币政策委员会2012年第一季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行总体符合宏观调控预期，经济增长平稳，物价有所回落；欧债危机有所缓解，全球经济温和复苏，但不确定性依然存在。

会议强调，要密切关注国际国内经济金融最新动向及其影响，继续实施稳健的货币政策，进一步增强政策的针对性、灵活性和前瞻性，按照总量适度、审慎灵活的要求，兼顾促进经济平稳较快发展、保持物价稳定和防范金融风险。综合运用多种货币政策工具，引导货币信贷平稳适度增长，保持合理的社会融资规模。着力引导和促进信贷结构优化，加大对社会经济重点领域和薄弱环节的支持力度。引导金融机构提高金融服务水平，更好地支持实体经济发展。要继续发挥直接融资的作用，更好地满足多样化投融资需求，推动金融市场规范发展。稳步推进利率市场化改革，积极探索进一步推进利率市场化的有效途径。进一步完善人民币汇率形成机制，增强人民币汇率双向浮动弹性，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员尤权、李勇、胡晓炼、易纲、杜金富、尚福林、郭树清、项俊波、姜建清、钱颖一、陈雨露、宋国青出席了会议，朱之鑫、马建堂因公务请假。中国人民银行沈阳分行、成都分行和西安分行负责同志列席了会议。（完）",579,data/monetary_policy_meetings/raw_txt/2012_Q1_中国人民银行 货币政策 委员会 召开 2012 年 第一季度 例会.txt
2012,2,2012-06-29,中国人民银行 货币政策 委员会 召开 2012 年 第二季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212542291524/index.html,1,"中国人民银行货币政策委员会2012年第二季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行总体平稳，经济增长处于目标区间，物价涨幅继续回落；全球经济复苏艰难曲折，欧债危机反复震荡，不确定性较大。

会议强调，要密切关注国际国内经济金融最新动向及其影响，继续实施稳健的货币政策，进一步增强政策的针对性、灵活性和前瞻性，根据形势变化适时适度进行预调微调，正确处理保持经济平稳较快发展、调整经济结构和管理通胀预期三者的关系。综合运用多种货币政策工具，引导货币信贷平稳适度增长，保持合理的社会融资规模。引导金融机构进一步优化信贷结构，防范金融风险，提高金融服务水平，更好地支持实体经济，促进国民经济平稳较快发展。继续发挥直接融资的作用，更好地满足多样化投融资需求，推动金融市场规范发展。稳步推进利率市场化改革，完善人民币汇率形成机制，增强人民币汇率双向浮动弹性，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员尤权、李勇、胡晓炼、易纲、尚福林、郭树清、项俊波、姜建清、钱颖一、陈雨露、宋国青出席了会议，朱之鑫、杜金富、马建堂因公务请假。中国人民银行沈阳分行、成都分行和西安分行负责同志列席了会议。(完)",555,data/monetary_policy_meetings/raw_txt/2012_Q2_中国人民银行 货币政策 委员会 召开 2012 年 第二季度 例会.txt
2012,3,2012-09-25,中国人民银行 货币政策 委员会 召开 2012 年 第三季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541457089/index.html,1,"中国人民银行货币政策委员会2012年第三季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行呈现缓中趋稳态势,物价形势基本稳定,全球经济仍较为疲弱，近期欧美新的救助和刺激措施的影响需密切关注。

会议强调，要密切关注国际国内经济金融最新动向及其影响，继续实施稳健的货币政策，着力提高政策的针对性、灵活性和前瞻性，根据形势变化适时适度进行预调微调，正确处理保持经济平稳较快发展、调整经济结构和管理通胀预期三者的关系。综合运用多种货币政策工具，引导货币信贷平稳适度增长，保持合理的社会融资规模。优化金融资源配置，有效解决信贷资金供求结构性矛盾，防范金融风险，提高金融服务水平，更好地支持实体经济，促进国民经济平稳较快发展。继续发挥直接融资的作用，更好地满足多样化投融资需求，推动金融市场规范发展。稳步推进利率市场化改革，完善人民币汇率形成机制，增强人民币汇率双向浮动弹性，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员尤权、朱之鑫、李勇、易纲、尚福林、郭树清、项俊波、姜建清、钱颖一、陈雨露、宋国青出席了会议，胡晓炼、杜金富、马建堂因公务请假。中国人民银行沈阳分行、成都分行和西安分行负责同志列席了会议。（完）",561,data/monetary_policy_meetings/raw_txt/2012_Q3_中国人民银行 货币政策 委员会 召开 2012 年 第三季度 例会.txt
2012,4,2012-12-28,中国人民银行 货币政策 委员会 召开 2012 年 第四季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541535772/index.html,1,"中国人民银行货币政策委员会2012年第四季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行总体平稳,积极因素进一步增多，物价形势基本稳定，全球经济仍较为疲弱，不确定性依然存在。

会议强调，要认真贯彻落实党的十八大和中央经济工作会议精神，密切关注国际国内经济金融最新动向和国际资本流动的变化，继续实施稳健的货币政策，处理好稳增长、调结构、控通胀、防风险的关系。综合运用多种货币政策工具，引导货币信贷和社会融资规模平稳适度增长。优化金融资源配置，有效解决信贷资金供求结构性矛盾，防范金融风险，着力改进对实体经济的金融服务，继续发挥直接融资的作用，更好地满足多样化投融资需求，推动金融市场规范发展。稳步推进利率市场化和人民币汇率形成机制等改革，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员李勇、胡晓炼、易纲、尚福林、郭树清、项俊波、姜建清、钱颖一、陈雨露、宋国青出席了会议，尤权、朱之鑫、杜金富、马建堂因公务请假。中国人民银行沈阳分行、成都分行和西安分行负责同志列席了会议。（完）",498,data/monetary_policy_meetings/raw_txt/2012_Q4_中国人民银行 货币政策 委员会 召开 2012 年 第四季度 例会.txt
2013,1,2013-04-03,中国人民银行 货币政策 委员会 召开 2013 年 第一季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541644100/index.html,1,"中国人民银行货币政策委员会2013年第一季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行总体保持了稳定增长态势,物价形势基本稳定，但未来走势仍存在一定不确定性；全球经济有所好转，但形势依然错综复杂。

会议强调，要认真贯彻落实党的十八大和中央经济工作会议精神，密切关注国际国内经济金融最新动向和国际资本流动的变化，继续实施稳健的货币政策，保持政策连续性和稳定性，增强前瞻性、针对性和灵活性，处理好稳增长、调结构、控通胀、防风险的关系，维持货币环境的稳定。健全宏观审慎政策框架，综合运用多种货币政策工具，加强和改善流动性管理，引导货币信贷和社会融资规模平稳适度增长。优化金融资源配置，有效缓解信贷资金供求结构性矛盾，防范金融风险，着力改进对实体经济的金融服务，继续发挥直接融资的作用，更好地满足多样化投融资需求，推动金融市场规范发展。进一步推进利率市场化和人民币汇率形成机制改革，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员朱之鑫、胡晓炼、易纲、尚福林、项俊波、钱颖一、陈雨露、宋国青出席会议，尤权、李勇、杜金富、马建堂、郭树清、姜建清因公务请假。中国人民银行营业管理部、天津分行和南京分行负责同志列席了会议。（完）",568,data/monetary_policy_meetings/raw_txt/2013_Q1_中国人民银行 货币政策 委员会 召开 2013 年 第一季度 例会.txt
2013,2,2013-06-23,中国人民银行 货币政策 委员会 召开 2013 年 第二季度 例会,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/2025092212541615089/index.html,1,"中国人民银行货币政策委员会2013年第二季度例会日前在北京召开。

会议分析了当前国内外经济金融形势。会议认为，当前我国经济金融运行总体平稳，物价形势基本稳定，但也面临不少困难和挑战；全球经济有所好转，但形势依然错综复杂。

会议强调，要认真贯彻落实党的十八大、中央经济工作会议和国务院常务会议精神，密切关注国际国内经济金融最新动向和国际资本流动的变化，继续实施稳健的货币政策，并着力增强政策的前瞻性、针对性和灵活性，适时适度进行预调微调。健全宏观审慎政策框架，综合运用多种货币政策工具，加强和改善流动性管理，引导货币信贷和社会融资规模平稳适度增长。在保持宏观经济政策稳定性、连续性的同时，优化金融资源配置，用好增量、盘活存量，更有力地支持经济结构调整和转型升级，更好地服务实体经济发展，更扎实地做好金融风险防范。进一步推进利率市场化改革，更大程度发挥市场机制在资源配置中的基础性作用。继续推进人民币汇率形成机制改革，保持人民币汇率在合理均衡水平上的基本稳定。

本次会议由中国人民银行行长兼货币政策委员会主席周小川主持，货币政策委员会委员李勇、易纲、尚福林、项俊波、姜建清、钱颖一、陈雨露、宋国青出席会议，尤权、朱之鑫、胡晓炼、杜金富、马建堂、郭树清因公务请假。中国人民银行营业管理部、天津分行和南京分行负责同志列席了会议。（完）",566,data/monetary_policy_meetings/raw_txt/2013_Q2_中国人民银行 货币政策 委员会 召开 2013 年 第二季度 例会.txt
