strong,strong_level,weak,weak_level,level_gap,constraint,pair_status
一点,2,不大,1,1,strong>weak,train
一点,2,微,1,1,strong>weak,train
一点,2,轻度,1,1,strong>weak,train
或多或少,2,不大,1,1,strong>weak,train
或多或少,2,微,1,1,strong>weak,train
或多或少,2,轻度,1,1,strong>weak,train
有些,2,不大,1,1,strong>weak,train
有些,2,微,1,1,strong>weak,train
有些,2,轻度,1,1,strong>weak,train
略,2,不大,1,1,strong>weak,train
略,2,微,1,1,strong>weak,train
略,2,轻度,1,1,strong>weak,train
略微,2,不大,1,1,strong>weak,train
略微,2,微,1,1,strong>weak,train
略微,2,轻度,1,1,strong>weak,train
稍,2,不大,1,1,strong>weak,train
稍,2,微,1,1,strong>weak,train
稍,2,轻度,1,1,strong>weak,train
愈加,3,不大,1,2,strong>weak,train
愈加,3,微,1,2,strong>weak,train
愈加,3,轻度,1,2,strong>weak,train
愈加,3,一点,2,1,strong>weak,train
愈加,3,或多或少,2,1,strong>weak,train
愈加,3,有些,2,1,strong>weak,train
愈加,3,略,2,1,strong>weak,train
愈加,3,略微,2,1,strong>weak,train
愈加,3,稍,2,1,strong>weak,train
愈发,3,不大,1,2,strong>weak,train
愈发,3,微,1,2,strong>weak,train
愈发,3,轻度,1,2,strong>weak,train
愈发,3,一点,2,1,strong>weak,train
愈发,3,或多或少,2,1,strong>weak,train
愈发,3,有些,2,1,strong>weak,train
愈发,3,略,2,1,strong>weak,train
愈发,3,略微,2,1,strong>weak,train
愈发,3,稍,2,1,strong>weak,train
更为,3,不大,1,2,strong>weak,train
更为,3,微,1,2,strong>weak,train
更为,3,轻度,1,2,strong>weak,train
更为,3,一点,2,1,strong>weak,train
更为,3,或多或少,2,1,strong>weak,train
更为,3,有些,2,1,strong>weak,train
更为,3,略,2,1,strong>weak,train
更为,3,略微,2,1,strong>weak,train
更为,3,稍,2,1,strong>weak,train
更加,3,不大,1,2,strong>weak,train
更加,3,微,1,2,strong>weak,train
更加,3,轻度,1,2,strong>weak,train
更加,3,一点,2,1,strong>weak,train
更加,3,或多或少,2,1,strong>weak,train
更加,3,有些,2,1,strong>weak,train
更加,3,略,2,1,strong>weak,train
更加,3,略微,2,1,strong>weak,train
更加,3,稍,2,1,strong>weak,train
越来越,3,不大,1,2,strong>weak,train
越来越,3,微,1,2,strong>weak,train
越来越,3,轻度,1,2,strong>weak,train
越来越,3,一点,2,1,strong>weak,train
越来越,3,或多或少,2,1,strong>weak,train
越来越,3,有些,2,1,strong>weak,train
越来越,3,略,2,1,strong>weak,train
越来越,3,略微,2,1,strong>weak,train
越来越,3,稍,2,1,strong>weak,train
较为,3,不大,1,2,strong>weak,train
较为,3,微,1,2,strong>weak,train
较为,3,轻度,1,2,strong>weak,train
较为,3,一点,2,1,strong>weak,train
较为,3,或多或少,2,1,strong>weak,train
较为,3,有些,2,1,strong>weak,train
较为,3,略,2,1,strong>weak,train
较为,3,略微,2,1,strong>weak,train
较为,3,稍,2,1,strong>weak,train
远远,3,不大,1,2,strong>weak,train
远远,3,微,1,2,strong>weak,train
远远,3,轻度,1,2,strong>weak,train
远远,3,一点,2,1,strong>weak,train
远远,3,或多或少,2,1,strong>weak,train
远远,3,有些,2,1,strong>weak,train
远远,3,略,2,1,strong>weak,train
远远,3,略微,2,1,strong>weak,train
远远,3,稍,2,1,strong>weak,train
分外,4,不大,1,3,strong>weak,train
分外,4,微,1,3,strong>weak,train
分外,4,轻度,1,3,strong>weak,train
分外,4,一点,2,2,strong>weak,train
分外,4,或多或少,2,2,strong>weak,train
分外,4,有些,2,2,strong>weak,train
分外,4,略,2,2,strong>weak,train
分外,4,略微,2,2,strong>weak,train
分外,4,稍,2,2,strong>weak,train
分外,4,愈加,3,1,strong>weak,train
分外,4,愈发,3,1,strong>weak,train
分外,4,更为,3,1,strong>weak,train
分外,4,更加,3,1,strong>weak,train
分外,4,越来越,3,1,strong>weak,train
分外,4,较为,3,1,strong>weak,train
分外,4,远远,3,1,strong>weak,train
大为,4,不大,1,3,strong>weak,train
大为,4,微,1,3,strong>weak,train
大为,4,轻度,1,3,strong>weak,train
大为,4,一点,2,2,strong>weak,train
大为,4,或多或少,2,2,strong>weak,train
大为,4,有些,2,2,strong>weak,train
大为,4,略,2,2,strong>weak,train
大为,4,略微,2,2,strong>weak,train
大为,4,稍,2,2,strong>weak,train
大为,4,愈加,3,1,strong>weak,train
大为,4,愈发,3,1,strong>weak,train
大为,4,更为,3,1,strong>weak,train
大为,4,更加,3,1,strong>weak,train
大为,4,越来越,3,1,strong>weak,train
大为,4,较为,3,1,strong>weak,train
大为,4,远远,3,1,strong>weak,train
尤为,4,不大,1,3,strong>weak,train
尤为,4,微,1,3,strong>weak,train
尤为,4,轻度,1,3,strong>weak,train
尤为,4,一点,2,2,strong>weak,train
尤为,4,或多或少,2,2,strong>weak,train
尤为,4,有些,2,2,strong>weak,train
尤为,4,略,2,2,strong>weak,train
尤为,4,略微,2,2,strong>weak,train
尤为,4,稍,2,2,strong>weak,train
尤为,4,愈加,3,1,strong>weak,train
尤为,4,愈发,3,1,strong>weak,train
尤为,4,更为,3,1,strong>weak,train
尤为,4,更加,3,1,strong>weak,train
尤为,4,越来越,3,1,strong>weak,train
尤为,4,较为,3,1,strong>weak,train
尤为,4,远远,3,1,strong>weak,train
很,4,不大,1,3,strong>weak,train
很,4,微,1,3,strong>weak,train
很,4,轻度,1,3,strong>weak,train
很,4,一点,2,2,strong>weak,train
很,4,或多或少,2,2,strong>weak,train
很,4,有些,2,2,strong>weak,train
很,4,略,2,2,strong>weak,train
很,4,略微,2,2,strong>weak,train
很,4,稍,2,2,strong>weak,train
很,4,愈加,3,1,strong>weak,train
很,4,愈发,3,1,strong>weak,train
很,4,更为,3,1,strong>weak,train
很,4,更加,3,1,strong>weak,train
很,4,越来越,3,1,strong>weak,train
很,4,较为,3,1,strong>weak,train
很,4,远远,3,1,strong>weak,train
格外,4,不大,1,3,strong>weak,train
格外,4,微,1,3,strong>weak,train
格外,4,轻度,1,3,strong>weak,train
格外,4,一点,2,2,strong>weak,train
格外,4,或多或少,2,2,strong>weak,train
格外,4,有些,2,2,strong>weak,train
格外,4,略,2,2,strong>weak,train
格外,4,略微,2,2,strong>weak,train
格外,4,稍,2,2,strong>weak,train
格外,4,愈加,3,1,strong>weak,train
格外,4,愈发,3,1,strong>weak,train
格外,4,更为,3,1,strong>weak,train
格外,4,更加,3,1,strong>weak,train
格外,4,越来越,3,1,strong>weak,train
格外,4,较为,3,1,strong>weak,train
格外,4,远远,3,1,strong>weak,train
甚,4,不大,1,3,strong>weak,train
甚,4,微,1,3,strong>weak,train
甚,4,轻度,1,3,strong>weak,train
甚,4,一点,2,2,strong>weak,train
甚,4,或多或少,2,2,strong>weak,train
甚,4,有些,2,2,strong>weak,train
甚,4,略,2,2,strong>weak,train
甚,4,略微,2,2,strong>weak,train
甚,4,稍,2,2,strong>weak,train
甚,4,愈加,3,1,strong>weak,train
甚,4,愈发,3,1,strong>weak,train
甚,4,更为,3,1,strong>weak,train
甚,4,更加,3,1,strong>weak,train
甚,4,越来越,3,1,strong>weak,train
甚,4,较为,3,1,strong>weak,train
甚,4,远远,3,1,strong>weak,train
着实,4,不大,1,3,strong>weak,train
着实,4,微,1,3,strong>weak,train
着实,4,轻度,1,3,strong>weak,train
着实,4,一点,2,2,strong>weak,train
着实,4,或多或少,2,2,strong>weak,train
着实,4,有些,2,2,strong>weak,train
着实,4,略,2,2,strong>weak,train
着实,4,略微,2,2,strong>weak,train
着实,4,稍,2,2,strong>weak,train
着实,4,愈加,3,1,strong>weak,train
着实,4,愈发,3,1,strong>weak,train
着实,4,更为,3,1,strong>weak,train
着实,4,更加,3,1,strong>weak,train
着实,4,越来越,3,1,strong>weak,train
着实,4,较为,3,1,strong>weak,train
着实,4,远远,3,1,strong>weak,train
过于,5,不大,1,4,strong>weak,train
过于,5,微,1,4,strong>weak,train
过于,5,轻度,1,4,strong>weak,train
过于,5,一点,2,3,strong>weak,train
过于,5,或多或少,2,3,strong>weak,train
过于,5,有些,2,3,strong>weak,train
过于,5,略,2,3,strong>weak,train
过于,5,略微,2,3,strong>weak,train
过于,5,稍,2,3,strong>weak,train
过于,5,愈加,3,2,strong>weak,train
过于,5,愈发,3,2,strong>weak,train
过于,5,更为,3,2,strong>weak,train
过于,5,更加,3,2,strong>weak,train
过于,5,越来越,3,2,strong>weak,train
过于,5,较为,3,2,strong>weak,train
过于,5,远远,3,2,strong>weak,train
过于,5,分外,4,1,strong>weak,train
过于,5,大为,4,1,strong>weak,train
过于,5,尤为,4,1,strong>weak,train
过于,5,很,4,1,strong>weak,train
过于,5,格外,4,1,strong>weak,train
过于,5,甚,4,1,strong>weak,train
过于,5,着实,4,1,strong>weak,train
过分,5,不大,1,4,strong>weak,train
过分,5,微,1,4,strong>weak,train
过分,5,轻度,1,4,strong>weak,train
过分,5,一点,2,3,strong>weak,train
过分,5,或多或少,2,3,strong>weak,train
过分,5,有些,2,3,strong>weak,train
过分,5,略,2,3,strong>weak,train
过分,5,略微,2,3,strong>weak,train
过分,5,稍,2,3,strong>weak,train
过分,5,愈加,3,2,strong>weak,train
过分,5,愈发,3,2,strong>weak,train
过分,5,更为,3,2,strong>weak,train
过分,5,更加,3,2,strong>weak,train
过分,5,越来越,3,2,strong>weak,train
过分,5,较为,3,2,strong>weak,train
过分,5,远远,3,2,strong>weak,train
过分,5,分外,4,1,strong>weak,train
过分,5,大为,4,1,strong>weak,train
过分,5,尤为,4,1,strong>weak,train
过分,5,很,4,1,strong>weak,train
过分,5,格外,4,1,strong>weak,train
过分,5,甚,4,1,strong>weak,train
过分,5,着实,4,1,strong>weak,train
过度,5,不大,1,4,strong>weak,train
过度,5,微,1,4,strong>weak,train
过度,5,轻度,1,4,strong>weak,train
过度,5,一点,2,3,strong>weak,train
过度,5,或多或少,2,3,strong>weak,train
过度,5,有些,2,3,strong>weak,train
过度,5,略,2,3,strong>weak,train
过度,5,略微,2,3,strong>weak,train
过度,5,稍,2,3,strong>weak,train
过度,5,愈加,3,2,strong>weak,train
过度,5,愈发,3,2,strong>weak,train
过度,5,更为,3,2,strong>weak,train
过度,5,更加,3,2,strong>weak,train
过度,5,越来越,3,2,strong>weak,train
过度,5,较为,3,2,strong>weak,train
过度,5,远远,3,2,strong>weak,train
过度,5,分外,4,1,strong>weak,train
过度,5,大为,4,1,strong>weak,train
过度,5,尤为,4,1,strong>weak,train
过度,5,很,4,1,strong>weak,train
过度,5,格外,4,1,strong>weak,train
过度,5,甚,4,1,strong>weak,train
过度,5,着实,4,1,strong>weak,train
过热,5,不大,1,4,strong>weak,train
过热,5,微,1,4,strong>weak,train
过热,5,轻度,1,4,strong>weak,train
过热,5,一点,2,3,strong>weak,train
过热,5,或多或少,2,3,strong>weak,train
过热,5,有些,2,3,strong>weak,train
过热,5,略,2,3,strong>weak,train
过热,5,略微,2,3,strong>weak,train
过热,5,稍,2,3,strong>weak,train
过热,5,愈加,3,2,strong>weak,train
过热,5,愈发,3,2,strong>weak,train
过热,5,更为,3,2,strong>weak,train
过热,5,更加,3,2,strong>weak,train
过热,5,越来越,3,2,strong>weak,train
过热,5,较为,3,2,strong>weak,train
过热,5,远远,3,2,strong>weak,train
过热,5,分外,4,1,strong>weak,train
过热,5,大为,4,1,strong>weak,train
过热,5,尤为,4,1,strong>weak,train
过热,5,很,4,1,strong>weak,train
过热,5,格外,4,1,strong>weak,train
过热,5,甚,4,1,strong>weak,train
过热,5,着实,4,1,strong>weak,train
十分,6,不大,1,5,strong>weak,train
十分,6,微,1,5,strong>weak,train
十分,6,轻度,1,5,strong>weak,train
十分,6,一点,2,4,strong>weak,train
十分,6,或多或少,2,4,strong>weak,train
十分,6,有些,2,4,strong>weak,train
十分,6,略,2,4,strong>weak,train
十分,6,略微,2,4,strong>weak,train
十分,6,稍,2,4,strong>weak,train
十分,6,愈加,3,3,strong>weak,train
十分,6,愈发,3,3,strong>weak,train
十分,6,更为,3,3,strong>weak,train
十分,6,更加,3,3,strong>weak,train
十分,6,越来越,3,3,strong>weak,train
十分,6,较为,3,3,strong>weak,train
十分,6,远远,3,3,strong>weak,train
十分,6,分外,4,2,strong>weak,train
十分,6,大为,4,2,strong>weak,train
十分,6,尤为,4,2,strong>weak,train
十分,6,很,4,2,strong>weak,train
十分,6,格外,4,2,strong>weak,train
十分,6,甚,4,2,strong>weak,train
十分,6,着实,4,2,strong>weak,train
十分,6,过于,5,1,strong>weak,train
十分,6,过分,5,1,strong>weak,train
十分,6,过度,5,1,strong>weak,train
十分,6,过热,5,1,strong>weak,train
异常,6,不大,1,5,strong>weak,train
异常,6,微,1,5,strong>weak,train
异常,6,轻度,1,5,strong>weak,train
异常,6,一点,2,4,strong>weak,train
异常,6,或多或少,2,4,strong>weak,train
异常,6,有些,2,4,strong>weak,train
异常,6,略,2,4,strong>weak,train
异常,6,略微,2,4,strong>weak,train
异常,6,稍,2,4,strong>weak,train
异常,6,愈加,3,3,strong>weak,train
异常,6,愈发,3,3,strong>weak,train
异常,6,更为,3,3,strong>weak,train
异常,6,更加,3,3,strong>weak,train
异常,6,越来越,3,3,strong>weak,train
异常,6,较为,3,3,strong>weak,train
异常,6,远远,3,3,strong>weak,train
异常,6,分外,4,2,strong>weak,train
异常,6,大为,4,2,strong>weak,train
异常,6,尤为,4,2,strong>weak,train
异常,6,很,4,2,strong>weak,train
异常,6,格外,4,2,strong>weak,train
异常,6,甚,4,2,strong>weak,train
异常,6,着实,4,2,strong>weak,train
异常,6,过于,5,1,strong>weak,train
异常,6,过分,5,1,strong>weak,train
异常,6,过度,5,1,strong>weak,train
异常,6,过热,5,1,strong>weak,train
极为,6,不大,1,5,strong>weak,train
极为,6,微,1,5,strong>weak,train
极为,6,轻度,1,5,strong>weak,train
极为,6,一点,2,4,strong>weak,train
极为,6,或多或少,2,4,strong>weak,train
极为,6,有些,2,4,strong>weak,train
极为,6,略,2,4,strong>weak,train
极为,6,略微,2,4,strong>weak,train
极为,6,稍,2,4,strong>weak,train
极为,6,愈加,3,3,strong>weak,train
极为,6,愈发,3,3,strong>weak,train
极为,6,更为,3,3,strong>weak,train
极为,6,更加,3,3,strong>weak,train
极为,6,越来越,3,3,strong>weak,train
极为,6,较为,3,3,strong>weak,train
极为,6,远远,3,3,strong>weak,train
极为,6,分外,4,2,strong>weak,train
极为,6,大为,4,2,strong>weak,train
极为,6,尤为,4,2,strong>weak,train
极为,6,很,4,2,strong>weak,train
极为,6,格外,4,2,strong>weak,train
极为,6,甚,4,2,strong>weak,train
极为,6,着实,4,2,strong>weak,train
极为,6,过于,5,1,strong>weak,train
极为,6,过分,5,1,strong>weak,train
极为,6,过度,5,1,strong>weak,train
极为,6,过热,5,1,strong>weak,train
极其,6,不大,1,5,strong>weak,train
极其,6,微,1,5,strong>weak,train
极其,6,轻度,1,5,strong>weak,train
极其,6,一点,2,4,strong>weak,train
极其,6,或多或少,2,4,strong>weak,train
极其,6,有些,2,4,strong>weak,train
极其,6,略,2,4,strong>weak,train
极其,6,略微,2,4,strong>weak,train
极其,6,稍,2,4,strong>weak,train
极其,6,愈加,3,3,strong>weak,train
极其,6,愈发,3,3,strong>weak,train
极其,6,更为,3,3,strong>weak,train
极其,6,更加,3,3,strong>weak,train
极其,6,越来越,3,3,strong>weak,train
极其,6,较为,3,3,strong>weak,train
极其,6,远远,3,3,strong>weak,train
极其,6,分外,4,2,strong>weak,train
极其,6,大为,4,2,strong>weak,train
极其,6,尤为,4,2,strong>weak,train
极其,6,很,4,2,strong>weak,train
极其,6,格外,4,2,strong>weak,train
极其,6,甚,4,2,strong>weak,train
极其,6,着实,4,2,strong>weak,train
极其,6,过于,5,1,strong>weak,train
极其,6,过分,5,1,strong>weak,train
极其,6,过度,5,1,strong>weak,train
极其,6,过热,5,1,strong>weak,train
极度,6,不大,1,5,strong>weak,train
极度,6,微,1,5,strong>weak,train
极度,6,轻度,1,5,strong>weak,train
极度,6,一点,2,4,strong>weak,train
极度,6,或多或少,2,4,strong>weak,train
极度,6,有些,2,4,strong>weak,train
极度,6,略,2,4,strong>weak,train
极度,6,略微,2,4,strong>weak,train
极度,6,稍,2,4,strong>weak,train
极度,6,愈加,3,3,strong>weak,train
极度,6,愈发,3,3,strong>weak,train
极度,6,更为,3,3,strong>weak,train
极度,6,更加,3,3,strong>weak,train
极度,6,越来越,3,3,strong>weak,train
极度,6,较为,3,3,strong>weak,train
极度,6,远远,3,3,strong>weak,train
极度,6,分外,4,2,strong>weak,train
极度,6,大为,4,2,strong>weak,train
极度,6,尤为,4,2,strong>weak,train
极度,6,很,4,2,strong>weak,train
极度,6,格外,4,2,strong>weak,train
极度,6,甚,4,2,strong>weak,train
极度,6,着实,4,2,strong>weak,train
极度,6,过于,5,1,strong>weak,train
极度,6,过分,5,1,strong>weak,train
极度,6,过度,5,1,strong>weak,train
极度,6,过热,5,1,strong>weak,train
极端,6,不大,1,5,strong>weak,train
极端,6,微,1,5,strong>weak,train
极端,6,轻度,1,5,strong>weak,train
极端,6,一点,2,4,strong>weak,train
极端,6,或多或少,2,4,strong>weak,train
极端,6,有些,2,4,strong>weak,train
极端,6,略,2,4,strong>weak,train
极端,6,略微,2,4,strong>weak,train
极端,6,稍,2,4,strong>weak,train
极端,6,愈加,3,3,strong>weak,train
极端,6,愈发,3,3,strong>weak,train
极端,6,更为,3,3,strong>weak,train
极端,6,更加,3,3,strong>weak,train
极端,6,越来越,3,3,strong>weak,train
极端,6,较为,3,3,strong>weak,train
极端,6,远远,3,3,strong>weak,train
极端,6,分外,4,2,strong>weak,train
极端,6,大为,4,2,strong>weak,train
极端,6,尤为,4,2,strong>weak,train
极端,6,很,4,2,strong>weak,train
极端,6,格外,4,2,strong>weak,train
极端,6,甚,4,2,strong>weak,train
极端,6,着实,4,2,strong>weak,train
极端,6,过于,5,1,strong>weak,train
极端,6,过分,5,1,strong>weak,train
极端,6,过度,5,1,strong>weak,train
极端,6,过热,5,1,strong>weak,train
非常,6,不大,1,5,strong>weak,train
非常,6,微,1,5,strong>weak,train
非常,6,轻度,1,5,strong>weak,train
非常,6,一点,2,4,strong>weak,train
非常,6,或多或少,2,4,strong>weak,train
非常,6,有些,2,4,strong>weak,train
非常,6,略,2,4,strong>weak,train
非常,6,略微,2,4,strong>weak,train
非常,6,稍,2,4,strong>weak,train
非常,6,愈加,3,3,strong>weak,train
非常,6,愈发,3,3,strong>weak,train
非常,6,更为,3,3,strong>weak,train
非常,6,更加,3,3,strong>weak,train
非常,6,越来越,3,3,strong>weak,train
非常,6,较为,3,3,strong>weak,train
非常,6,远远,3,3,strong>weak,train
非常,6,分外,4,2,strong>weak,train
非常,6,大为,4,2,strong>weak,train
非常,6,尤为,4,2,strong>weak,train
非常,6,很,4,2,strong>weak,train
非常,6,格外,4,2,strong>weak,train
非常,6,甚,4,2,strong>weak,train
非常,6,着实,4,2,strong>weak,train
非常,6,过于,5,1,strong>weak,train
非常,6,过分,5,1,strong>weak,train
非常,6,过度,5,1,strong>weak,train
非常,6,过热,5,1,strong>weak,train
